Customer_ID,Month,Electricity_Consumption_kWh,Previous_Month_Consumption,Peak_Consumption,Off_Peak_Consumption,Voltage,Current,Power_Factor,Meter_Age,Number_of_Meter_Readings,Location_Type,Customer_Type,Theft_Flag_GroundTruth,Average_Consumption_3_Months,Average_Consumption_6_Months
C00211,4,228.18,166.87,161.4,66.79,227.56,1.623,0.858,11,30,Urban,Residential,0,170.11333333333334,170.11333333333334
C00016,4,382.89,352.38,221.25,161.63,222.61,2.474,0.966,4,30,Semi-Urban,Residential,0,305.5233333333333,305.5233333333333
C00553,6,331.17,347.94,203.74,127.43,231.03,2.034,0.979,2,29,Urban,Residential,0,377.34999999999997,354.818
C01004,4,297.82,262.39,220.26,77.56,223.8,1.881,0.983,14,30,Rural,Residential,0,251.29999999999998,251.29999999999998
C00950,1,205.57,,135.47,70.09,223.78,1.399,0.912,10,29,Urban,Residential,0,,
C00777,6,950.53,1197.55,683.14,267.39,222.64,6.584,0.901,15,30,Urban,Commercial,0,1007.9466666666667,963.2720000000002
C00448,2,257.4,256.6,177.62,79.78,239.68,1.679,0.888,11,30,Semi-Urban,Residential,0,256.6,256.6
C00139,1,423.31,,280.5,142.81,225.08,2.896,0.902,7,30,Semi-Urban,Commercial,0,,
C01182,3,240.46,183.81,134.97,105.5,231.49,1.517,0.951,15,30,Semi-Urban,Residential,0,193.375,193.375
C00320,6,399.59,373.72,271.98,127.61,227.34,2.652,0.921,8,28,Urban,Residential,0,339.75,310.488
C00591,3,303.58,321.76,184.64,118.93,224.58,2.2,0.853,7,30,Rural,Residential,0,298.14,298.14
C00732,6,979.56,1081.46,681.87,297.69,234.7,6.171,0.939,6,29,Urban,Commercial,0,1067.12,993.5360000000001
C01243,6,232.01,191.13,148.57,83.45,233.59,1.662,0.83,12,29,Urban,Residential,0,183.96333333333334,180.636
C00933,3,354.6,326.82,218.87,135.74,232.73,2.268,0.933,11,28,Semi-Urban,Residential,0,305.28,305.28
C00409,2,248.76,270.01,171.44,77.33,233.89,1.712,0.863,8,29,Urban,Residential,0,270.01,270.01
C01409,1,209.35,,135.63,73.72,,1.394,0.926,10,30,Semi-Urban,Residential,0,,
C00911,6,848.24,1001.02,522.6,325.64,229.94,5.737,0.893,16,29,Urban,Commercial,0,1024.3766666666668,919.3459999999999
C00123,2,221.62,192.87,128.39,93.23,234.76,1.393,0.941,10,28,Urban,Residential,0,192.87,192.87
C00729,1,206.37,,150.99,55.38,226.36,1.34,0.945,4,28,Semi-Urban,Residential,0,,
C00277,4,676.04,507.12,374.31,301.73,225.08,,0.791,15,28,Semi-Urban,Commercial,0,510.2033333333334,510.2033333333334
C01217,6,305.25,385.53,218.12,87.13,230.5,2.028,0.907,14,30,Urban,Residential,0,303.8566666666666,279.536
C01328,6,308.8,259.52,203.26,105.55,235.73,1.838,0.99,9,30,Semi-Urban,Residential,0,238.83333333333334,232.096
C00267,2,305.23,338.81,179.63,125.6,225.89,1.905,0.985,17,29,Rural,Residential,0,338.81,338.81
C00780,5,303.31,393.9,219.5,83.81,236.7,1.987,0.896,13,29,Urban,Residential,0,341.9533333333334,322.6075
C00787,2,666.14,808.54,412.49,253.65,223.49,4.294,0.964,9,30,Urban,Commercial,0,808.54,808.54
C00439,1,166.61,,111.15,55.47,233.82,1.068,0.927,5,30,Urban,Residential,0,,
C00487,2,150.24,176.14,89.75,60.49,237.22,1.005,0.876,5,30,Urban,Residential,0,176.14,176.14
C01185,2,151.33,162.14,104.63,46.69,230.4,0.984,0.927,4,29,Rural,Residential,0,162.14,162.14
C01273,1,258.58,,147.31,111.27,233.01,1.59,0.969,10,29,Semi-Urban,Residential,0,,
C00997,6,208.09,646.63,118.07,90.02,233.76,1.298,0.952,3,30,Urban,Commercial,1,744.4566666666666,707.396
C01304,3,330.76,247.09,244.26,86.51,240.78,1.983,0.962,14,30,Rural,Residential,0,297.0,297.0
C00915,2,1841.31,1811.57,1277.85,563.47,234.14,11.261,0.97,4,30,Urban,Industrial,0,1811.57,1811.57
C01307,4,132.26,225.46,90.34,41.91,228.06,1.895,0.425,4,28,Rural,Residential,1,208.96333333333334,208.96333333333334
C01301,4,206.69,177.63,115.36,91.33,227.5,1.292,0.977,8,28,Semi-Urban,Residential,0,160.50333333333333,160.50333333333333
C01127,4,344.19,363.58,243.41,100.78,225.5,2.295,0.924,16,29,Urban,Residential,0,323.24666666666667,323.24666666666667
C00239,2,278.78,328.96,164.3,114.48,229.49,1.848,0.913,8,28,Semi-Urban,Residential,0,328.96,328.96
C00524,5,808.94,698.23,490.16,318.78,231.15,5.339,0.91,18,28,Urban,Commercial,0,614.18,584.38
C01352,6,489.76,513.57,288.63,201.13,216.3,,0.942,0,30,Semi-Urban,Commercial,0,504.21000000000004,469.95
C00161,6,168.01,165.39,106.56,61.46,229.8,1.203,0.844,17,29,Urban,Residential,0,150.92333333333332,139.122
C01399,2,201.82,203.25,141.78,60.04,233.99,1.25,0.958,0,30,Urban,Residential,0,203.25,203.25
C00095,4,257.54,219.42,169.76,87.77,228.2,1.583,0.99,9,30,Rural,Residential,0,203.79333333333332,203.79333333333332
C00127,6,203.1,218.61,141.08,62.02,220.77,1.343,0.951,14,30,Urban,Residential,0,214.2266666666667,202.1
C00522,1,260.48,,159.86,100.62,239.42,1.69,0.894,8,28,Urban,Residential,0,,
C00279,3,958.36,901.61,584.84,373.52,230.25,6.467,0.894,13,29,Urban,Commercial,0,820.89,820.89
C00371,2,3669.52,3799.16,2052.38,1617.14,225.68,24.533,0.921,3,30,Urban,Industrial,0,3799.16,3799.16
C00940,2,758.51,630.43,510.8,247.71,231.35,5.097,0.893,5,30,Urban,Commercial,0,630.43,630.43
C01244,1,2236.57,,1425.69,810.88,220.79,15.271,0.921,14,29,Rural,Industrial,0,,
C01028,2,157.26,140.52,87.8,69.46,231.37,1.08,0.874,12,29,Urban,Residential,0,140.52,140.52
C00196,6,304.72,292.73,221.33,83.39,237.46,1.934,0.921,10,30,Semi-Urban,Residential,0,278.8866666666667,249.942
C00895,1,206.92,,136.94,69.98,233.27,1.254,0.982,4,29,Semi-Urban,Residential,0,,
C00176,3,526.05,422.29,338.1,187.95,228.68,3.418,0.935,8,29,Rural,Commercial,0,468.81500000000005,468.81500000000005
